"url","pic_url","name","time","career","printdate","onlinedate","abstract"
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5005040?rskey=LwfqVU&result=1602","/cover/searchableMedia/anb-9780198606697-e-5005040-graphic-1-thumbnail.jpg","Kilby, Jack St. Clair","08 November 1923–20 June 2005","Nobel Prize-winning inventor of the microchip","","","Jack Kilby with his 1958 invention, the world's first integrated circuit, at the Science Exposition in Tsukuba, Japan, 1985. Photograph by I. Inoue. Associated Press"
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003825?rskey=LwfqVU&result=1603","/cover/searchableMedia/anb-9780198606697-e-5003825-graphic-1-thumbnail.jpg","Kiley, Richard","1922-1999","actor","","","Richard Kiley Left, with Everett Sloane, in a ""Kraft Television Theatre"" episode, 1955. Courtesy of the Rod Serling Memorial Foundation."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001096?rskey=LwfqVU&result=1604","/cover/searchableMedia/anb-9780198606697-e-5001096-graphic-1-thumbnail.jpg","Killens, John Oliver","1916-1987","author","1999","1999","John Killens Photograph by Carl Van Vechten, 1954. Courtesy of the Library of Congress (LOT 12735, no. 623 P&P;)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000298?rskey=LwfqVU&result=1605","/cover/searchableMedia/anb-9780198606697-e-5000298-graphic-1-thumbnail.jpg","Kilpatrick, Hugh Judson","1836-1881","army officer and diplomat","1999","1999","Judson Kilpatrick.  Courtesy of the Library of Congress (LC-B8172-1391)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000299?rskey=LwfqVU&result=1606","/cover/searchableMedia/anb-9780198606697-e-5000299-graphic-1-thumbnail.jpg","Kimball, Nathan","22 November 1823?–21 January 1898","Union general","1999","1999","Nathan Kimball.  Courtesy of the Library of Congress (LC-B8172-1647)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003245?rskey=LwfqVU&result=1607","/cover/searchableMedia/anb-9780198606697-e-5003245-graphic-1-thumbnail.jpg","King, Albert Freeman Africanus","1841-1914","physician","","","Albert Freeman Africanus King.  Courtesy of the Clendening History of Medicine Library and Museum, University of Kansas Medical Center."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002096?rskey=LwfqVU&result=1608","/cover/searchableMedia/anb-9780198606697-e-5002096-graphic-1-thumbnail.jpg","King, Clarence Rivers","1842-1901","geologist and first director of the U.S. Geological Survey","1999","1999","Clarence King. From U.S. Geological Survey Circular 1050. Courtesy of the U.S. Geological Survey."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000526?rskey=LwfqVU&result=1609","/cover/searchableMedia/anb-9780198606697-e-5000526-graphic-1-thumbnail.jpg","King, Ernest Joseph","1878-1956","naval officer","1999","1999","Ernest J. King.  Courtesy of the Library of Congress (LC-USZ62-113654)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000869?rskey=LwfqVU&result=1610","/cover/searchableMedia/anb-9780198606697-e-5000869-graphic-1-thumbnail.jpg","King, Martin Luther, Jr.","15 January 1929–04 April 1968","Baptist minister and civil rights leader","1999","1999","Martin Luther King, Jr.  Courtesy of the Library of Congress (LC-USZ62-116776)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000907?rskey=4HqIwD&result=1611","/cover/searchableMedia/anb-9780198606697-e-5000907-graphic-1-thumbnail.jpg","King, Martin Luther","1897-1984","Baptist pastor and civil rights activist","1999","1999","Martin Luther King Shaking hands with Jimmy Carter, 1976. Courtesy of the Library of Congress (LC-USZ62-113655)."
